CONTROL_STORE,CORR_SALES,CORR_CUST,DIST_SALES,DIST_CUST,SCORE_DIST_SALES,SCORE_DIST_CUST,FINAL_SCORE
131,0.4086888294675226,0.10225858729709089,34.72500000000001,6.5,0.9854523831014033,0.9341736694677871,0.6076433673334509
132,-0.013463869139549327,0.04587349021359844,205.85,37.0,0.8400824011000971,0.592436974789916,0.36623224924101555
133,0.10682038538783603,-0.38286196270891526,729.275,67.0,0.39543502152941123,0.25630252100840334,0.09392399130418383
134,-0.07791498009350124,-0.11659280746581778,183.48125,7.25,0.859084562005235,0.9257703081232493,0.3975867706422913
135,-0.3591307091334759,0.020956487115397722,211.025,36.75,0.8356862599351198,0.5952380952380952,0.2731875332887842
136,-0.34957939558250406,-0.20130717204664517,85.7,8.75,0.9421493307565292,0.9089635854341737,0.32505658714038843
137,-0.18793332030733706,0.13445334993954536,703.31875,63.125,0.4174847488943281,0.2997198879551821,0.16593116662042962
138,-0.4681343613441367,-0.5433956377438315,642.2,58.0,0.4694048750444658,0.3571428571428571,-0.046245566725161336
139,0.313082441472827,0.29468378747350293,213.175,37.25,0.8338598437989455,0.5896358543417367,0.5078154817717531
140,-0.09556649288561278,-0.22864615245341707,222.125,38.125,0.8262568556971972,0.5798319327731092,0.2704690357828191
141,-0.1284997945167978,-0.10768601458875718,42.575,8.5,0.9787838404646743,0.9117647058823529,0.41359068431036805
142,-0.22373469316131805,-0.1888137280123403,212.95,8.625,0.8340509803713358,0.9103641456582633,0.3329666762139852
143,-0.2188895261125371,-0.0682788741998919,147.63125,5.5,0.889538989206093,0.9453781512605042,0.386937185038542
144,0.14587459051395477,-0.07509420184118148,478.775,41.625,0.6082337387906365,0.5406162464985995,0.30490759349050234
145,0.39162446091320213,0.43519413988924455,71.64999999999998,5.75,0.9540847478324582,0.9425770308123249,0.6808700948618074
146,-0.2693623213784225,0.195593879743712,218.5,38.375,0.8293362782523745,0.5770308123249299,0.3331496622356485
147,-0.5390671655301772,-0.4767312946227962,580.38125,49.5,0.5219196483087067,0.45238095238095233,-0.010374464865828548
148,0.37143707501958406,0.13694696247107355,477.95,52.125,0.608934572889401,0.4229691876750701,0.38507194951378215
149,0.021091279536819208,0.2970200647533432,169.04999999999998,4.75,0.871343849384381,0.953781512605042,0.5358091765698964
150,0.25921755929705703,-0.017177153668569506,182.9625,6.875,0.8595252379915794,0.9299719887955182,0.5078844081038962
151,0.37607492976120094,0.30293734200131095,87.97500000000001,8.125,0.9402167276356936,0.9159663865546218,0.6337988464882068
152,0.33793452251412637,-0.02137692972033474,745.1375,64.625,0.3819598931758934,0.28291316526610644,0.24535766280894786
153,0.2520186531095033,0.13894113510026063,841.7125,63.25,0.29991982882658075,0.2983193277310925,0.2472997361918593
154,-0.0943832698957937,-0.08391595036479561,807.4562500000001,64.875,0.32902037197300726,0.2801120448179272,0.10770829913258628
